"Type","Hits","Total","Rate","Odds","Avg","Window"
"Goals against under 2.5","11","12","92","1.20","","Last 12"
"Goals against under 1.5","8","9","89","1.23","","Last 16"
"Goals for over 0.5","8","9","89","1.25","","Last 16"
"Total corners over 7.5","7","8","88","1.30","","Last 8"
"Goals for over 0.5","7","8","88","1.25","","Last 8"
"Total corners over 8.5","7","8","88","1.48","","Last 8"
"Total corners over 6.5","7","8","88","1.14","","Last 8"
"Goals for over 1.5","6","7","86","2.05","","Last 16"
"Goals against over 0.5","6","7","86","1.62","","Last 16"
"Most shots on target","6","7","86","","","Last 16"
"Total goals over 2.5","6","7","86","2.20","","Last 16"
"Total corners over 8.5","6","7","86","1.48","","Last 12"
"Total corners over 6.5","6","7","86","1.14","","Last 12"
"Total corners over 7.5","6","7","86","1.30","","Last 12"
"Total corners under 9.5","5","6","83","1.88","","Last 12"
"Total corners under 10.5","5","6","83","1.56","","Last 6"
"Goals against under 1.5","5","6","83","1.23","","Last 8"
"Total goals under 2.5","10","12","83","1.68","","Last 12"
"Goals against under 1.5","10","12","83","1.73","","Last 12"
"Total corners under 10.5","5","6","83","1.56","","Last 12"
"Total goals under 1.5","4","5","80","3.10","","Last 6"
"Corners for over 4.5","4","5","80","2.02","","Last 6"
"Total corners under 9.5","4","5","80","1.88","","Last 6"
