season,date,home_team,away_team,home_odds,draw_odds,away_odds,over_1_5_odds,over_2_5_odds,btts_odds,source
2023,2023-11-08,Alianza Lima,Universitario,2.14,2.96,3,1.44,2.3,2,footystats
2023,2023-11-04,Universitario,Alianza Lima,2.1,3.3,3.5,1.36,2.08,1.85,footystats
2023,2023-10-29,ADT,Carlos Manucci,1.67,3.4,4.6,1.32,2.04,1.9,footystats
2023,2023-10-29,Sporting Cristal,Alianza Atlético,1.3,4.62,8,1.23,1.76,2.1,footystats
2023,2023-10-29,Universitario,Sport Huancayo,1.29,4.57,8.45,1.26,1.81,2.27,footystats
2023,2023-10-29,Deportivo Binacional,Melgar,2.63,3.15,2.42,1.28,1.86,1.71,footystats
2023,2023-10-29,Deportivo Garcilaso,Alianza Lima,2.57,3.15,2.48,1.33,1.92,1.72,footystats
2023,2023-10-29,Atlético Grau,Unión Comercio,1.85,3.5,3.55,1.28,1.88,1.73,footystats
2023,2023-10-28,Deportivo Municipal,Academia Cantolao,1.34,5.01,7.37,1.19,1.7,2.05,footystats
2023,2023-10-28,Sport Boys,Cienciano,2.37,3.35,2.57,1.29,1.91,1.73,footystats
2023,2023-10-28,César Vallejo,Real Garcilaso,2.13,3.23,3.44,1.3,1.99,1.75,footystats
2023,2023-10-23,Academia Cantolao,Atlético Grau,2.9,3.6,2.1,1.18,1.57,1.5,footystats
2023,2023-10-22,Cienciano,Sporting Cristal,2.5,3.1,2.8,1.38,2.15,1.83,footystats
2023,2023-10-22,Carlos Manucci,Deportivo Binacional,1.85,3.2,4.2,1.36,2.05,1.83,footystats
2023,2023-10-22,Sport Huancayo,Sport Boys,1.6,4,4.75,1.22,1.7,1.73,footystats
2023,2023-10-22,Unión Comercio,Deportivo Garcilaso,2,3.3,3.3,1.26,1.9,1.73,footystats
2023,2023-10-21,Real Garcilaso,Universitario,2.8,3.1,2.4,1.28,1.85,1.67,footystats
2023,2023-10-21,Alianza Lima,ADT,1.45,3.8,7,1.38,2.15,2.25,footystats
2023,2023-10-21,Alianza Atlético,Deportivo Municipal,1.44,4.75,5.75,1.22,1.75,1.91,footystats
2023,2023-10-20,UTC Cajamarca,César Vallejo,2.15,3.4,3.1,1.3,1.9,1.73,footystats
2023,2023-10-08,ADT,Unión Comercio,1.4,4,8,1.24,1.85,2.01,footystats
2023,2023-10-08,Atlético Grau,Alianza Atlético,1.8,3.2,4.5,1.28,1.9,1.8,footystats
2023,2023-10-07,Deportivo Garcilaso,Academia Cantolao,1.29,5,10,1.22,1.85,2.45,footystats
2023,2023-10-07,Deportivo Municipal,Cienciano,3.75,3.25,2,1.28,2,1.79,footystats
2023,2023-10-03,Deportivo Binacional,Alianza Lima,2.35,3.35,2.95,1.28,1.8,1.62,footystats
2023,2023-10-03,Melgar,Carlos Manucci,1.11,7,23,1.18,1.57,3,footystats
2023,2023-10-03,Sport Boys,Real Garcilaso,2.2,3.2,3.2,1.36,2.05,1.82,footystats
2023,2023-10-03,Sporting Cristal,Sport Huancayo,1.57,4,5,1.29,1.85,1.73,footystats
2023,2023-10-02,Universitario,UTC Cajamarca,1.5,3.5,6.5,1.46,2.5,3,footystats
2023,2023-10-01,Academia Cantolao,ADT,4.47,3.62,1.64,1.22,1.68,1.7,footystats
2023,2023-10-01,Alianza Atlético,Deportivo Garcilaso,2.2,3.5,3.1,1.28,1.83,1.65,footystats
2023,2023-09-30,Cienciano,Atlético Grau,1.63,3.44,4.27,1.25,1.83,1.79,footystats
2023,2023-09-29,Real Garcilaso,Sporting Cristal,2.46,3.16,2.4,1.3,2,1.72,footystats
2023,2023-09-29,Sport Huancayo,Deportivo Municipal,1.14,5.1,14.18,1.22,1.8,2.75,footystats
2023,2023-09-29,UTC Cajamarca,Sport Boys,1.64,3.46,4.16,1.3,1.93,1.87,footystats
2023,2023-09-28,Alianza Lima,Melgar,1.68,3.23,4.23,1.3,1.78,1.85,footystats
2023,2023-09-28,César Vallejo,Universitario,2.66,3.12,2.25,1.3,1.81,1.65,footystats
2023,2023-09-28,Unión Comercio,Deportivo Binacional,2.05,3.15,2.99,1.25,1.7,1.68,footystats
2023,2023-09-25,Sporting Cristal,UTC Cajamarca,1.3,4.11,7.74,1.22,1.73,2.02,footystats
2023,2023-09-25,Atlético Grau,Sport Huancayo,1.67,3.26,4.24,1.28,1.9,1.85,footystats
2023,2023-09-25,Deportivo Municipal,Real Garcilaso,3.16,2.99,2.04,1.28,1.85,1.76,footystats
2023,2023-09-24,Deportivo Garcilaso,Cienciano,2,3.27,3,1.26,1.74,1.7,footystats
2023,2023-09-24,Carlos Manucci,Alianza Lima,3.97,3.26,1.72,1.28,1.84,1.82,footystats
2023,2023-09-24,Melgar,Unión Comercio,1.24,4.38,9.59,1.2,1.66,2.09,footystats
2023,2023-09-24,Sport Boys,César Vallejo,2.62,2.99,2.36,1.24,1.76,1.67,footystats
2023,2023-09-24,ADT,Alianza Atlético,1.51,3.52,5.13,1.27,1.76,1.85,footystats
2023,2023-09-23,Deportivo Binacional,Academia Cantolao,1.5,4,5,1.22,1.7,1.73,footystats
2023,2023-09-21,César Vallejo,Sporting Cristal,2.88,3.1,2.27,1.27,1.95,1.66,footystats
2023,2023-09-21,Real Garcilaso,Atlético Grau,1.65,3.55,4.5,1.25,1.85,1.85,footystats
2023,2023-09-21,Sport Huancayo,Deportivo Garcilaso,1.75,3.43,4.03,1.25,1.8,1.73,footystats
2023,2023-09-20,Universitario,Sport Boys,1.24,4.88,9.95,1.17,1.62,2.1,footystats
2023,2023-09-20,Cienciano,ADT,1.83,3.28,3.85,1.33,1.95,1.8,footystats
2023,2023-09-20,UTC Cajamarca,Deportivo Municipal,1.37,4.06,6.05,1.22,1.73,1.85,footystats
2023,2023-09-20,Unión Comercio,Carlos Manucci,1.97,3.2,3.47,1.3,2.05,1.75,footystats
2023,2023-09-19,Academia Cantolao,Melgar,6.53,4.18,1.37,1.22,1.75,1.91,footystats
2023,2023-09-19,Alianza Atlético,Deportivo Binacional,1.62,3.56,4.52,1.16,1.59,1.57,footystats
2023,2023-09-17,Alianza Lima,Unión Comercio,1.22,6,11,1.19,1.7,2.38,footystats
2023,2023-09-17,ADT,Sport Huancayo,2.1,3.4,3.4,1.27,1.9,1.73,footystats
2023,2023-09-16,Sporting Cristal,Universitario,2.2,3.5,3.1,1.26,1.9,1.72,footystats
2023,2023-09-16,Deportivo Garcilaso,Real Garcilaso,1.91,3.6,3.5,1.22,1.8,1.69,footystats
2023,2023-09-16,Deportivo Municipal,César Vallejo,2.9,3.75,2.15,1.26,1.9,1.72,footystats
2023,2023-09-15,Deportivo Binacional,Cienciano,1.91,3.5,3.8,1.26,1.9,1.76,footystats
2023,2023-09-15,Melgar,Alianza Atlético,1.25,5.5,10,1.23,1.7,2.29,footystats
2023,2023-09-15,Carlos Manucci,Academia Cantolao,1.53,3.75,5.5,1.33,2.1,2.27,footystats
2023,2023-09-15,Atlético Grau,UTC Cajamarca,1.53,4,5.75,1.28,1.85,1.95,footystats
2023,2023-09-10,Universitario,Deportivo Municipal,1.23,5.85,10.5,1.16,1.53,1.91,footystats
2023,2023-09-10,Sport Boys,Sporting Cristal,4.6,3.8,1.7,1.29,1.96,1.89,footystats
2023,2023-09-09,Cienciano,Melgar,2.38,3.35,2.82,1.25,1.8,1.65,footystats
2023,2023-09-09,Academia Cantolao,Alianza Lima,7.8,4.65,1.36,1.25,1.8,2.1,footystats
2023,2023-09-04,César Vallejo,Atlético Grau,1.71,3.33,4.45,1.36,2.11,2.1,footystats
2023,2023-09-03,UTC Cajamarca,Deportivo Garcilaso,2.01,3.23,3.3,1.29,1.86,1.78,footystats
2023,2023-09-03,Sport Huancayo,Deportivo Binacional,1.49,4.15,6.85,1.31,2.05,2.16,footystats
2023,2023-09-02,Real Garcilaso,ADT,1.8,3.4,3.8,1.17,1.62,1.57,footystats
2023,2023-09-02,Alianza Atlético,Carlos Manucci,2.06,3.25,3.17,1.38,2.1,1.95,footystats
2023,2023-08-28,Deportivo Garcilaso,César Vallejo,1.41,4.2,5.8,1.25,1.78,2,footystats
2023,2023-08-28,ADT,UTC Cajamarca,1.67,3.65,4.05,1.24,1.78,1.82,footystats
2023,2023-08-27,Melgar,Sport Huancayo,1.57,4.01,5.43,1.28,1.83,1.91,footystats
2023,2023-08-27,Deportivo Municipal,Sport Boys,2.68,3.38,2.5,1.29,1.82,1.74,footystats
2023,2023-08-27,Atlético Grau,Universitario,3.46,3.38,2.07,1.33,1.96,1.86,footystats
2023,2023-08-26,Alianza Lima,Alianza Atlético,1.32,4.4,8.25,1.34,1.98,2.57,footystats
