MatchDate,TournamentId,Round,MatchId,HomeTeamId,HomeTeamName,AwayTeamId,AwayTeamName,HomeWinOdds,DrawOdds,AwayWinOdds
2023-11-08,406,1,1,0,Alianza Lima,0,Universitario,2.14,2.96,3
2023-11-04,406,1,2,0,Universitario,0,Alianza Lima,2.1,3.3,3.5
2023-10-29,406,1,3,0,ADT,0,Carlos Manucci,1.67,3.4,4.6
2023-10-29,406,1,4,0,Sporting Cristal,0,Alianza AtlÃ©tico,1.3,4.62,8
2023-10-29,406,1,5,0,Universitario,0,Sport Huancayo,1.29,4.57,8.45
2023-10-29,406,1,6,0,Deportivo Binacional,0,Melgar,2.63,3.15,2.42
2023-10-29,406,1,7,0,Deportivo Garcilaso,0,Alianza Lima,2.57,3.15,2.48
2023-10-29,406,1,8,0,AtlÃ©tico Grau,0,UniÃ³n Comercio,1.85,3.5,3.55
2023-10-28,406,1,9,0,Deportivo Municipal,0,Academia Cantolao,1.34,5.01,7.37
2023-10-28,406,1,10,0,Sport Boys,0,Cienciano,2.37,3.35,2.57
2023-10-28,406,1,11,0,CÃ©sar Vallejo,0,Real Garcilaso,2.13,3.23,3.44
2023-10-23,406,1,12,0,Academia Cantolao,0,AtlÃ©tico Grau,2.9,3.6,2.1
2023-10-22,406,1,13,0,Cienciano,0,Sporting Cristal,2.5,3.1,2.8
2023-10-22,406,1,14,0,Carlos Manucci,0,Deportivo Binacional,1.85,3.2,4.2
2023-10-22,406,1,15,0,Sport Huancayo,0,Sport Boys,1.6,4,4.75
2023-10-22,406,1,16,0,UniÃ³n Comercio,0,Deportivo Garcilaso,2,3.3,3.3
2023-10-21,406,1,17,0,Real Garcilaso,0,Universitario,2.8,3.1,2.4
2023-10-21,406,1,18,0,Alianza Lima,0,ADT,1.45,3.8,7
2023-10-21,406,1,19,0,Alianza AtlÃ©tico,0,Deportivo Municipal,1.44,4.75,5.75
2023-10-20,406,1,20,0,UTC Cajamarca,0,CÃ©sar Vallejo,2.15,3.4,3.1
2023-10-08,406,1,21,0,ADT,0,UniÃ³n Comercio,1.4,4,8
2023-10-08,406,1,22,0,AtlÃ©tico Grau,0,Alianza AtlÃ©tico,1.8,3.2,4.5
2023-10-07,406,1,23,0,Deportivo Garcilaso,0,Academia Cantolao,1.29,5,10
2023-10-07,406,1,24,0,Deportivo Municipal,0,Cienciano,3.75,3.25,2
2023-10-03,406,1,25,0,Deportivo Binacional,0,Alianza Lima,2.35,3.35,2.95
2023-10-03,406,1,26,0,Melgar,0,Carlos Manucci,1.11,7,23
2023-10-03,406,1,27,0,Sport Boys,0,Real Garcilaso,2.2,3.2,3.2
2023-10-03,406,1,28,0,Sporting Cristal,0,Sport Huancayo,1.57,4,5
2023-10-02,406,1,29,0,Universitario,0,UTC Cajamarca,1.5,3.5,6.5
2023-10-01,406,1,30,0,Academia Cantolao,0,ADT,4.47,3.62,1.64
2023-10-01,406,1,31,0,Alianza AtlÃ©tico,0,Deportivo Garcilaso,2.2,3.5,3.1
2023-09-30,406,1,32,0,Cienciano,0,AtlÃ©tico Grau,1.63,3.44,4.27
2023-09-29,406,1,33,0,Real Garcilaso,0,Sporting Cristal,2.46,3.16,2.4
2023-09-29,406,1,34,0,Sport Huancayo,0,Deportivo Municipal,1.14,5.1,14.18
2023-09-29,406,1,35,0,UTC Cajamarca,0,Sport Boys,1.64,3.46,4.16
2023-09-28,406,1,36,0,Alianza Lima,0,Melgar,1.68,3.23,4.23
2023-09-28,406,1,37,0,CÃ©sar Vallejo,0,Universitario,2.66,3.12,2.25
2023-09-28,406,1,38,0,UniÃ³n Comercio,0,Deportivo Binacional,2.05,3.15,2.99
2023-09-25,406,1,39,0,Sporting Cristal,0,UTC Cajamarca,1.3,4.11,7.74
2023-09-25,406,1,40,0,AtlÃ©tico Grau,0,Sport Huancayo,1.67,3.26,4.24
2023-09-25,406,1,41,0,Deportivo Municipal,0,Real Garcilaso,3.16,2.99,2.04
2023-09-24,406,1,42,0,Deportivo Garcilaso,0,Cienciano,2,3.27,3
2023-09-24,406,1,43,0,Carlos Manucci,0,Alianza Lima,3.97,3.26,1.72
2023-09-24,406,1,44,0,Melgar,0,UniÃ³n Comercio,1.24,4.38,9.59
2023-09-24,406,1,45,0,Sport Boys,0,CÃ©sar Vallejo,2.62,2.99,2.36
2023-09-24,406,1,46,0,ADT,0,Alianza AtlÃ©tico,1.51,3.52,5.13
2023-09-23,406,1,47,0,Deportivo Binacional,0,Academia Cantolao,1.5,4,5
2023-09-21,406,1,48,0,CÃ©sar Vallejo,0,Sporting Cristal,2.88,3.1,2.27
2023-09-21,406,1,49,0,Real Garcilaso,0,AtlÃ©tico Grau,1.65,3.55,4.5
2023-09-21,406,1,50,0,Sport Huancayo,0,Deportivo Garcilaso,1.75,3.43,4.03
2023-09-20,406,1,51,0,Universitario,0,Sport Boys,1.24,4.88,9.95
2023-09-20,406,1,52,0,Cienciano,0,ADT,1.83,3.28,3.85
2023-09-20,406,1,53,0,UTC Cajamarca,0,Deportivo Municipal,1.37,4.06,6.05
2023-09-20,406,1,54,0,UniÃ³n Comercio,0,Carlos Manucci,1.97,3.2,3.47
2023-09-19,406,1,55,0,Academia Cantolao,0,Melgar,6.53,4.18,1.37
2023-09-19,406,1,56,0,Alianza AtlÃ©tico,0,Deportivo Binacional,1.62,3.56,4.52
2023-09-17,406,1,57,0,Alianza Lima,0,UniÃ³n Comercio,1.22,6,11
2023-09-17,406,1,58,0,ADT,0,Sport Huancayo,2.1,3.4,3.4
2023-09-16,406,1,59,0,Sporting Cristal,0,Universitario,2.2,3.5,3.1
2023-09-16,406,1,60,0,Deportivo Garcilaso,0,Real Garcilaso,1.91,3.6,3.5
2023-09-16,406,1,61,0,Deportivo Municipal,0,CÃ©sar Vallejo,2.9,3.75,2.15
2023-09-15,406,1,62,0,Deportivo Binacional,0,Cienciano,1.91,3.5,3.8
2023-09-15,406,1,63,0,Melgar,0,Alianza AtlÃ©tico,1.25,5.5,10
2023-09-15,406,1,64,0,Carlos Manucci,0,Academia Cantolao,1.53,3.75,5.5
2023-09-15,406,1,65,0,AtlÃ©tico Grau,0,UTC Cajamarca,1.53,4,5.75
2023-09-10,406,1,66,0,Universitario,0,Deportivo Municipal,1.23,5.85,10.5
2023-09-10,406,1,67,0,Sport Boys,0,Sporting Cristal,4.6,3.8,1.7
2023-09-09,406,1,68,0,Cienciano,0,Melgar,2.38,3.35,2.82
2023-09-09,406,1,69,0,Academia Cantolao,0,Alianza Lima,7.8,4.65,1.36
2023-09-04,406,1,70,0,CÃ©sar Vallejo,0,AtlÃ©tico Grau,1.71,3.33,4.45
2023-09-03,406,1,71,0,UTC Cajamarca,0,Deportivo Garcilaso,2.01,3.23,3.3
2023-09-03,406,1,72,0,Sport Huancayo,0,Deportivo Binacional,1.49,4.15,6.85
2023-09-02,406,1,73,0,Real Garcilaso,0,ADT,1.8,3.4,3.8
2023-09-02,406,1,74,0,Alianza AtlÃ©tico,0,Carlos Manucci,2.06,3.25,3.17
2023-08-28,406,1,75,0,Deportivo Garcilaso,0,CÃ©sar Vallejo,1.41,4.2,5.8
2023-08-28,406,1,76,0,ADT,0,UTC Cajamarca,1.67,3.65,4.05
2023-08-27,406,1,77,0,Melgar,0,Sport Huancayo,1.57,4.01,5.43
2023-08-27,406,1,78,0,Deportivo Municipal,0,Sport Boys,2.68,3.38,2.5
2023-08-27,406,1,79,0,AtlÃ©tico Grau,0,Universitario,3.46,3.38,2.07
2023-08-26,406,1,80,0,Alianza Lima,0,Alianza AtlÃ©tico,1.32,4.4,8.25
2023-08-26,406,1,81,0,Deportivo Binacional,0,Real Garcilaso,1.8,3.6,4
2023-08-26,406,1,82,0,Carlos Manucci,0,Cienciano,2.15,3.15,3.1
2023-08-26,406,1,83,0,UniÃ³n Comercio,0,Academia Cantolao,1.6,3.7,5
2023-08-21,406,1,84,0,CÃ©sar Vallejo,0,ADT,1.96,3.2,2.98
2023-08-21,406,1,85,0,UTC Cajamarca,0,Deportivo Binacional,1.73,3.5,4.2
2023-08-21,406,1,86,0,Sport Boys,0,AtlÃ©tico Grau,2.05,3.1,3.4
2023-08-20,406,1,87,0,Cienciano,0,Alianza Lima,2.29,3.3,2.64
2023-08-20,406,1,88,0,Sporting Cristal,0,Deportivo Municipal,1.18,5.49,9.08
2023-08-19,406,1,89,0,Universitario,0,Deportivo Garcilaso,1.29,5,8.35
2023-08-19,406,1,90,0,Sport Huancayo,0,Carlos Manucci,1.57,3.7,5.33
