Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2025-12-14,Real Garcilaso,,Sporting Cristal,,2,0,1.85,3.65,3.75
2025-12-10,Sporting Cristal,,Real Garcilaso,,1,0,1.54,3.75,5
2025-12-06,Alianza Lima,,Sporting Cristal,,3,3,2,3.2,3.4
2025-12-02,Sporting Cristal,,Alianza Lima,,1,1,2.4,2.95,3
2025-11-23,Comerciantes Unidos,,ADT,,0,0,4,3.1,2.07
2025-11-23,Alianza Universidad,,Juan Pablo II College,,3,0,1.99,3.55,3.25
2025-11-23,Alianza Lima,,UTC Cajamarca,,3,0,1.13,5.84,12.47
2025-11-23,Cienciano,,Ayacucho,,2,1,1.38,4.6,6
2025-11-23,Sport Huancayo,,Real Garcilaso,,1,2,2.15,3.3,2.87
2025-11-22,Los Chankas,,Universitario,,3,1,4.4,3.25,1.76
2025-11-19,Atlético Grau,,Sporting Cristal,,1,2,3.35,3.2,2.1
2025-11-16,Sport Boys,,Alianza Atlético,,0,1,2.13,2.95,3.25
2025-11-10,ADT,,Los Chankas,,1,0,1.58,3.95,5.25
2025-11-09,Alianza Atlético,,Alianza Universidad,,2,1,1.43,4.2,7
2025-11-09,UTC Cajamarca,,Sport Huancayo,,0,3,2.31,3.2,3
2025-11-08,Juan Pablo II College,,Atlético Grau,,3,1,1.9,3.1,4.2
2025-11-08,Ayacucho,,Comerciantes Unidos,,0,3,1.75,3.38,4
2025-11-07,Universitario,,Deportivo Garcilaso,,0,0,1.12,7.57,20
2025-11-07,Sporting Cristal,,Cienciano,,2,1,1.6,3.95,4.9
2025-11-07,Real Garcilaso,,Sport Boys,,3,0,1.19,5.25,8.75
2025-11-05,Los Chankas,,Alianza Lima,,1,2,2.82,3.09,2.42
2025-11-02,Cienciano,,Juan Pablo II College,,2,1,1.22,5.75,11
2025-11-02,Sport Boys,,UTC Cajamarca,,2,2,1.57,3.6,5
2025-11-02,Atlético Grau,,Alianza Atlético,,1,1,2.7,2.93,2.75
2025-11-02,Alianza Universidad,,Real Garcilaso,,2,2,2.75,3.55,2.11
2025-11-01,Deportivo Garcilaso,,ADT,,1,0,2.65,3.19,2.55
2025-11-01,Comerciantes Unidos,,Sporting Cristal,,1,4,3.75,3.3,2.05
