Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeGoals,AwayGoals,HomeOdds,DrawOdds,AwayOdds
2026-02-23,UCV Moquegua,1.04,Deportivo Garcilaso,1.75,1,0,2.75,2.85,2.40
2026-02-22,Real Garcilaso,1.63,Comerciantes Unidos,1.21,3,1,1.34,4.60,7.50
2026-02-22,Atlético Grau,1.21,Juan Pablo II College,1.13,1,2,1.65,3.40,5.84
2026-02-22,Los Chankas,1.71,Sport Huancayo,1.08,3,2,2.75,3.05,2.40
2026-02-22,ADT,0.92,UTC Cajamarca,0.80,2,2,1.80,3.05,3.78
2026-02-21,Cienciano,1.60,Alianza Atlético,1.48,1,1,1.35,4.55,7.00
2026-02-21,Sporting Cristal,1.21,Universitario,1.88,2,2,2.80,3.65,2.30
2026-02-21,FC Cajamarca,0.96,Melgar,1.63,3,1,3.10,2.85,2.21
2026-02-20,Alianza Lima,2.17,Sport Boys,1.42,1,0,1.44,4.30,7.37
2026-02-15,Melgar,1.63,UCV Moquegua,1.04,4,0,1.18,6.00,17.00
2026-02-15,Universitario,1.88,ADT,0.92,2,0,1.20,5.50,11.00
2026-02-15,Alianza Atlético,1.48,Real Garcilaso,1.63,1,0,2.58,2.84,2.94
2026-02-14,Deportivo Garcilaso,1.75,Sporting Cristal,1.21,1,1,2.63,3.10,2.45
2026-02-08,Cienciano,1.60,Juan Pablo II College,1.13,6,1,1.28,4.95,9.00
2026-02-08,Los Chankas,1.71,Alianza Atlético,1.48,1,0,1.80,3.10,4.20
2026-02-08,Sporting Cristal,1.21,Melgar,1.63,1,2,1.85,3.30,4.37
2026-02-07,Real Garcilaso,1.63,Universitario,1.88,1,1,2.34,2.83,2.95
2026-02-07,Atlético Grau,1.21,Sport Huancayo,1.08,0,0,2.22,2.63,3.60
2026-02-07,ADT,0.92,Sport Boys,1.42,1,0,1.51,4.10,6.58
2026-02-06,UCV Moquegua,1.04,UTC Cajamarca,0.80,2,3,2.64,2.80,2.75
2026-02-02,Comerciantes Unidos,1.21,UCV Moquegua,1.04,1,0,,,,
2026-02-01,Universitario,1.88,ADT,0.92,2,0,1.20,5.50,11.00
2026-02-01,Alianza Atlético,1.48,Real Garcilaso,1.63,1,0,2.58,2.84,2.94
2026-01-31,Deportivo Garcilaso,1.75,Sporting Cristal,1.21,1,1,2.63,3.10,2.45
2026-01-31,Melgar,1.63,Cienciano,1.60,2,0,1.73,3.40,4.00
2026-01-31,Juan Pablo II College,1.13,FC Cajamarca,0.96,3,3,2.00,3.30,3.20
2026-01-31,Sport Boys,1.42,Los Chankas,1.71,1,1,1.66,3.99,5.25
2026-01-30,UTC Cajamarca,0.80,Atlético Grau,1.21,2,0,1.85,3.10,4.11
2026-01-30,Sport Huancayo,1.08,Alianza Lima,2.17,1,2,2.30,3.28,2.75
2026-08-23,Melgar,1.63,Alianza Lima,2.17,1,1,2.10,2.90,3.77
2026-08-23,Sport Boys,1.42,Cienciano,1.60,5,1,2.17,3.35,3.31
2026-08-22,Deportivo Garcilaso,1.75,Real Garcilaso,1.63,4,1,,,,
2026-08-22,Juan Pablo II College,1.13,ADT,0.92,5,1,1.84,3.25,3.90
2026-08-22,UTC Cajamarca,0.80,Comerciantes Unidos,1.21,1,3,2.20,3.25,3.99
2026-08-22,Sport Huancayo,1.08,UCV Moquegua,1.04,0,2,1.35,4.90,6.05
2026-08-21,Alianza Atlético,1.48,Sporting Cristal,1.21,3,1,3.00,3.25,2.05
2026-08-21,FC Cajamarca,0.96,Atlético Grau,1.21,1,3,2.00,3.20,3.63
2026-08-16,Cienciano,1.60,Deportivo Garcilaso,1.75,0,0,2.20,3.20,2.80
2026-08-16,FC Cajamarca,0.96,Universitario,1.88,2,3,4.59,3.30,1.75
2026-08-16,UCV Moquegua,1.04,Sport Boys,1.42,1,1,2.80,2.87,2.60
2026-08-16,Sporting Cristal,1.21,Sport Huancayo,1.08,4,1,1.67,3.82,4.86
2026-08-15,Alianza Lima,2.17,UTC Cajamarca,0.80,1,0,1.33,5.05,7.00
2026-08-15,Los Chankas,1.71,Melgar,1.63,0,3,2.75,3.25,2.25
2026-08-15,ADT,0.92,Alianza Atlético,1.48,1,1,1.95,3.35,2.55
2026-08-14,Real Garcilaso,1.63,Juan Pablo II College,1.13,2,0,1.28,4.80,7.75
2026-08-14,Atlético Grau,1.21,Comerciantes Unidos,1.21,1,0,1.90,3.30,3.60
2026-08-09,Melgar,1.63,FC Cajamarca,0.96,2,4,1.28,5.00,8.02
2026-08-09,Deportivo Garcilaso,1.75,UCV Moquegua,1.04,2,0,1.58,3.72,5.82
2026-08-08,Sport Boys,1.42,Alianza Lima,2.17,1,1,4.30,3.10,1.92
2026-08-08,Juan Pablo II College,1.13,Atlético Grau,1.21,0,0,2.09,3.10,2.70
2026-08-08,UTC Cajamarca,0.80,ADT,0.92,1,1,1.80,3.50,3.95
2026-08-07,Universitario,1.88,Sporting Cristal,1.21,1,1,1.82,3.45,4.19
2026-08-07,Comerciantes Unidos,1.21,Real Garcilaso,1.63,3,1,2.45,3.10,2.50
2026-08-07,Sport Huancayo,1.08,Los Chankas,1.71,1,1,1.62,3.80,4.60
2026-08-06,Alianza Atlético,1.48,Cienciano,1.60,1,0,2.10,3.00,3.00
2026-08-02,Cienciano,1.60,Universitario,1.88,2,0,2.30,3.05,3.00
2026-08-02,UCV Moquegua,1.04,Melgar,1.63,0,0,3.90,3.20,1.85
2026-08-02,ADT,0.92,Deportivo Garcilaso,1.75,0,1,2.05,3.10,3.20
2026-08-02,Sporting Cristal,1.21,Juan Pablo II College,1.13,2,0,1.29,5.00,9.90
2026-08-01,Alianza Lima,2.17,Alianza Atlético,1.48,3,1,1.35,4.20,7.50
2026-08-01,Real Garcilaso,1.63,UTC Cajamarca,0.80,4,1,1.47,4.15,5.71
2026-08-01,Atlético Grau,1.21,Sport Boys,1.42,0,1,2.25,3.15,3.48
2026-08-01,FC Cajamarca,0.96,Sport Huancayo,1.08,0,2,3.06,3.15,2.36
2026-07-31,Los Chankas,1.71,Comerciantes Unidos,1.21,3,2,1.77,3.45,3.50
2026-07-26,Deportivo Garcilaso,1.75,FC Cajamarca,0.96,2,1,,,,
2026-07-26,Comerciantes Unidos,1.21,Alianza Lima,2.17,2,2,3.40,2.90,2.10
2026-07-26,UTC Cajamarca,0.80,UCV Moquegua,1.04,0,0,1.50,3.70,4.35
2026-07-25,Melgar,1.63,Sporting Cristal,1.21,2,1,1.68,3.60,4.55
2026-07-25,Juan Pablo II College,1.13,Cienciano,1.60,2,0,2.10,3.20,2.90
2026-07-25,Sport Huancayo,1.08,Atlético Grau,1.21,2,0,1.65,3.40,4.50
2026-07-25,Sport Boys,1.42,ADT,0.92,2,0,1.67,3.70,4.26
2026-07-24,Universitario,1.88,Real Garcilaso,1.63,2,1,1.44,4.00,6.00
