Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2025-12-14,Real Garcilaso,1.97,Sporting Cristal,1.74,2,0,1.85,3.65,3.75
2025-12-10,Sporting Cristal,1.74,Real Garcilaso,1.97,1,0,1.54,3.75,5.00
2025-12-06,Alianza Lima,1.89,Sporting Cristal,1.74,3,3,2.00,3.20,3.40
2025-12-02,Sporting Cristal,1.74,Alianza Lima,1.89,1,1,2.40,2.95,3.00
2025-11-23,Comerciantes Unidos,1.06,ADT,1.40,0,0,4.00,3.10,2.07
2025-11-23,Alianza Universidad,0.80,Juan Pablo II College,0.94,3,0,1.99,3.55,3.25
2025-11-23,Alianza Lima,1.89,UTC Cajamarca,0.92,3,0,1.13,5.84,12.47
2025-11-23,Cienciano,1.43,Ayacucho,0.83,2,1,1.38,4.60,6.00
2025-11-23,Sport Huancayo,1.37,Real Garcilaso,1.97,1,2,2.15,3.30,2.87
2025-11-22,Los Chankas,1.43,Universitario,2.26,3,1,4.40,3.25,1.76
2025-11-19,Atlético Grau,1.09,Sporting Cristal,1.74,1,2,3.35,3.20,2.10
2025-11-16,Sport Boys,1.03,Alianza Atlético,1.63,0,1,2.13,2.95,3.25
2025-11-10,ADT,1.40,Los Chankas,1.43,1,0,1.58,3.95,5.25
2025-11-09,Alianza Atlético,1.63,Alianza Universidad,0.80,2,1,1.43,4.20,7.00
2025-11-09,UTC Cajamarca,0.92,Sport Huancayo,1.37,0,3,2.31,3.20,3.00
2025-11-08,Juan Pablo II College,0.94,Atlético Grau,1.09,3,1,1.90,3.10,4.20
2025-11-08,Ayacucho,0.83,Comerciantes Unidos,1.06,0,3,1.75,3.38,4.00
2025-11-07,Universitario,2.26,Deportivo Garcilaso,1.49,0,0,1.12,7.57,20.00
2025-11-07,Sporting Cristal,1.74,Cienciano,1.43,2,1,1.60,3.95,4.90
2025-11-07,Real Garcilaso,1.97,Sport Boys,1.03,3,0,1.19,5.25,8.75
2025-11-05,Los Chankas,1.43,Alianza Lima,1.89,1,2,2.82,3.09,2.42
2025-11-02,Cienciano,1.43,Juan Pablo II College,0.94,2,1,1.22,5.75,11.00
2025-11-02,Sport Boys,1.03,UTC Cajamarca,0.92,2,2,1.57,3.60,5.00
2025-11-02,Atlético Grau,1.09,Alianza Atlético,1.63,1,1,2.70,2.93,2.75
2025-11-02,Alianza Universidad,0.80,Real Garcilaso,1.97,2,2,2.75,3.55,2.11
2025-11-01,Deportivo Garcilaso,1.49,ADT,1.40,1,0,2.65,3.19,2.55
2025-11-01,Comerciantes Unidos,1.06,Sporting Cristal,1.74,1,4,3.75,3.30,2.05
2025-11-01,Los Chankas,1.43,Ayacucho,0.83,1,0,2.15,3.20,2.95
2025-10-31,Alianza Lima,1.89,Melgar,1.60,2,2,1.83,3.35,3.95
2025-10-26,Melgar,1.60,Sport Huancayo,1.37,2,0,1.46,4.30,6.59
2025-10-26,ADT,1.40,Universitario,2.26,1,2,3.50,3.20,2.05
2025-10-26,UTC Cajamarca,0.92,Alianza Universidad,0.80,3,2,2.01,3.25,3.15
2025-10-26,Sporting Cristal,1.74,Los Chankas,1.43,0,1,1.25,7.23,8.20
2025-10-25,Real Garcilaso,1.97,Atlético Grau,1.09,1,0,1.35,3.95,7.00
2025-10-25,Alianza Atlético,1.63,Cienciano,1.43,0,1,2.05,3.25,3.50
2025-10-25,Ayacucho,0.83,Deportivo Garcilaso,1.49,4,2,2.20,3.00,3.00
2025-10-24,Juan Pablo II College,0.94,Comerciantes Unidos,1.06,0,1,1.83,3.20,4.25
2025-10-23,Sporting Cristal,1.74,Universitario,2.26,0,1,3.10,2.66,2.20
2025-10-20,Universitario,2.26,Ayacucho,0.83,2,1,1.11,8.75,33.00
2025-10-20,Sport Boys,1.03,Melgar,1.60,1,0,3.41,3.25,2.10
2025-10-20,Sport Huancayo,1.37,Alianza Lima,1.89,1,2,2.50,3.10,2.75
2025-10-19,Deportivo Garcilaso,1.49,Sporting Cristal,1.74,0,1,2.16,3.45,2.83
2025-10-19,Atlético Grau,1.09,UTC Cajamarca,0.92,0,2,1.43,4.10,5.85
2025-10-18,Cienciano,1.43,Real Garcilaso,1.97,1,2,2.30,3.10,3.00
2025-10-18,Comerciantes Unidos,1.06,Alianza Atlético,1.63,1,0,2.30,2.91,3.11
2025-10-18,Los Chankas,1.43,Juan Pablo II College,0.94,1,0,1.63,3.66,3.68
2025-10-16,Alianza Lima,1.89,Sport Boys,1.03,3,1,1.44,4.00,6.25
2025-10-14,Melgar,1.60,Alianza Universidad,0.80,2,1,1.28,5.00,8.00
2025-10-13,Juan Pablo II College,0.94,Deportivo Garcilaso,1.49,0,1,2.00,3.20,3.51
2025-10-13,UTC Cajamarca,0.92,Cienciano,1.43,0,2,2.85,3.20,2.22
2025-10-12,Real Garcilaso,1.97,Comerciantes Unidos,1.06,1,1,1.45,4.10,6.25
2025-10-12,Alianza Atlético,1.63,Los Chankas,1.43,1,0,1.53,4.15,5.60
2025-10-12,Ayacucho,0.83,ADT,1.40,2,2,2.55,3.05,2.65
2025-10-05,Universitario,2.26,Juan Pablo II College,0.94,3,0,1.16,6.70,14.50
2025-10-05,Deportivo Garcilaso,1.49,Alianza Atlético,1.63,2,4,1.55,3.19,5.00
2025-10-05,Atlético Grau,1.09,Melgar,1.60,0,0,2.30,2.85,2.80
2025-10-05,Alianza Universidad,0.80,Alianza Lima,1.89,2,1,3.75,3.37,2.00
2025-10-04,Sport Boys,1.03,Sport Huancayo,1.37,2,1,1.93,3.30,3.40
2025-10-04,ADT,1.40,Sporting Cristal,1.74,3,2,2.09,3.10,3.52
2025-10-04,Los Chankas,1.43,Real Garcilaso,1.97,2,1,2.70,3.20,2.25
2025-10-03,Comerciantes Unidos,1.06,UTC Cajamarca,0.92,2,1,2.30,3.05,3.10
2025-10-02,Melgar,1.60,Cienciano,1.43,2,0,1.74,3.60,3.75
2025-10-01,Alianza Lima,1.89,Atlético Grau,1.09,2,1,1.37,5.20,6.40
2025-10-01,Alianza Atlético,1.63,Universitario,2.26,0,2,5.70,3.40,1.63
2025-09-30,Real Garcilaso,1.97,Deportivo Garcilaso,1.49,4,0,1.95,3.30,3.20
2025-09-30,Juan Pablo II College,0.94,ADT,1.40,1,1,2.42,3.00,3.25
2025-09-30,Sport Huancayo,1.37,Alianza Universidad,0.80,5,1,1.55,4.05,5.30
2025-09-29,Sporting Cristal,1.74,Ayacucho,0.83,3,0,1.18,5.25,8.50
2025-09-29,UTC Cajamarca,0.92,Los Chankas,1.43,2,0,2.30,3.48,2.95
2025-09-28,Cienciano,1.43,Alianza Lima,1.89,2,1,2.10,3.25,3.50
2025-09-27,Universitario,2.26,Real Garcilaso,1.97,3,2,1.36,4.20,7.80
2025-09-27,Comerciantes Unidos,1.06,Melgar,1.60,1,1,4.59,3.55,1.66
2025-09-26,Atlético Grau,1.09,Sport Huancayo,1.37,3,1,1.70,4.10,4.75
2025-09-26,ADT,1.40,Alianza Atlético,1.63,1,0,1.67,3.60,4.75
2025-09-26,Alianza Universidad,0.80,Sport Boys,1.03,2,3,2.25,3.20,2.80
2025-09-25,Deportivo Garcilaso,1.49,UTC Cajamarca,0.92,0,0,1.46,4.35,5.60
2025-09-25,Ayacucho,0.83,Juan Pablo II College,0.94,2,1,1.83,3.50,3.70
2025-09-22,Sport Boys,1.03,Atlético Grau,1.09,1,1,2.48,3.10,2.90
2025-09-22,Real Garcilaso,1.97,ADT,1.40,0,2,1.46,4.17,5.50
2025-09-22,Alianza Atlético,1.63,Ayacucho,0.83,3,0,1.46,3.75,6.00
2025-09-21,Alianza Lima,1.89,Comerciantes Unidos,1.06,4,0,1.22,5.85,10.50
2025-09-21,Sport Huancayo,1.37,Cienciano,1.43,5,2,2.25,3.10,3.00
2025-09-21,Juan Pablo II College,0.94,Sporting Cristal,1.74,0,0,4.00,3.30,1.83
2025-09-21,Melgar,1.60,Los Chankas,1.43,6,1,1.35,4.50,7.20
2025-09-20,UTC Cajamarca,0.92,Universitario,2.26,1,2,11.00,4.20,1.26
2025-09-18,Deportivo Garcilaso,1.49,Melgar,1.60,1,1,2.98,3.15,2.30
2025-09-18,Atlético Grau,1.09,Alianza Universidad,0.80,2,0,1.55,4.00,5.70
2025-09-18,Ayacucho,0.83,Real Garcilaso,1.97,0,1,3.79,3.35,2.05
2025-09-17,Cienciano,1.43,Sport Boys,1.03,2,2,1.44,4.25,5.90
2025-09-17,Comerciantes Unidos,1.06,Sport Huancayo,1.37,2,0,2.80,3.10,2.48
2025-09-17,Sporting Cristal,1.74,Alianza Atlético,1.63,0,0,1.37,3.90,5.25
2025-09-16,ADT,1.40,UTC Cajamarca,0.92,3,1,1.63,3.60,4.20
2025-09-14,Real Garcilaso,1.97,Sporting Cristal,1.74,3,2,1.98,3.25,3.50
2025-09-14,Melgar,1.60,Universitario,2.26,1,2,2.26,2.98,3.30
2025-09-14,Alianza Universidad,0.80,Cienciano,1.43,0,3,2.47,3.20,2.65
2025-09-13,Alianza Lima,1.89,Deportivo Garcilaso,1.49,3,4,1.22,5.71,13.00
2025-09-13,Alianza Atlético,1.63,Juan Pablo II College,0.94,0,1,1.50,3.75,5.50
2025-09-13,Sport Boys,1.03,Comerciantes Unidos,1.06,1,0,1.54,3.85,4.80
2025-09-12,Sport Huancayo,1.37,Los Chankas,1.43,1,2,1.53,4.00,5.75
2025-09-12,UTC Cajamarca,0.92,Ayacucho,0.83,0,1,2.00,3.10,3.40
2025-08-31,Atlético Grau,1.09,ADT,1.40,2,0,1.57,3.67,4.90
2025-08-30,Alianza Universidad,0.80,Los Chankas,1.43,2,1,1.84,3.64,4.35
2025-08-24,Universitario,2.26,Alianza Lima,1.89,0,0,2.05,2.79,4.00
2025-08-24,Cienciano,1.43,Atlético Grau,1.09,1,0,1.48,4.10,5.50
2025-08-24,ADT,1.40,Melgar,1.60,2,2,3.05,3.35,2.35
2025-08-23,Deportivo Garcilaso,1.49,Sport Huancayo,1.37,1,1,2.40,2.90,2.91
2025-08-23,Comerciantes Unidos,1.06,Alianza Universidad,0.80,1,2,2.30,3.00,2.90
2025-08-23,Los Chankas,1.43,Sport Boys,1.03,2,1,1.65,3.50,4.50
2025-08-23,Sporting Cristal,1.74,UTC Cajamarca,0.92,2,2,1.19,6.50,14.00
2025-08-22,Juan Pablo II College,0.94,Real Garcilaso,1.97,0,0,3.50,3.30,2.17
2025-08-17,Real Garcilaso,1.97,Alianza Atlético,1.63,1,0,1.35,4.40,7.50
2025-08-17,Melgar,1.60,Ayacucho,0.83,2,1,1.48,4.90,7.10
2025-08-17,Sport Huancayo,1.37,Universitario,2.26,1,1,2.20,3.00,3.15
2025-08-16,Alianza Lima,1.89,ADT,1.40,3,1,1.40,4.20,7.50
2025-08-16,UTC Cajamarca,0.92,Juan Pablo II College,0.94,0,0,1.88,3.41,4.00
2025-08-15,Sport Boys,1.03,Deportivo Garcilaso,1.49,0,1,1.65,3.30,5.00
2025-08-15,Atlético Grau,1.09,Comerciantes Unidos,1.06,1,2,1.33,4.40,7.40
2025-08-11,Deportivo Garcilaso,1.49,Alianza Universidad,0.80,1,1,1.61,3.60,4.50
2025-08-11,Alianza Atlético,1.63,UTC Cajamarca,0.92,2,0,1.41,4.20,6.00
2025-08-10,Los Chankas,1.43,Atlético Grau,1.09,3,2,1.94,3.15,3.81
2025-08-10,Sporting Cristal,1.74,Melgar,1.60,1,0,1.66,3.55,4.20
2025-08-09,Universitario,2.26,Sport Boys,1.03,1,0,1.30,4.60,9.17
2025-08-09,ADT,1.40,Sport Huancayo,1.37,1,0,2.30,3.25,2.75
2025-08-09,Ayacucho,0.83,Alianza Lima,1.89,0,1,3.80,3.47,1.82
2025-08-08,Comerciantes Unidos,1.06,Cienciano,1.43,1,1,3.24,3.13,2.30
2025-08-06,Atlético Grau,1.09,Deportivo Garcilaso,1.49,1,1,1.50,3.95,6.71
2025-08-05,Alianza Lima,1.89,Sporting Cristal,1.74,0,0,2.07,3.18,3.53
2025-08-05,Melgar,1.60,Juan Pablo II College,0.94,1,1,1.22,6.00,11.00
2025-08-05,Alianza Universidad,0.80,Universitario,2.26,0,2,4.60,3.50,1.67
2025-08-04,Cienciano,1.43,Los Chankas,1.43,3,0,1.64,4.50,6.05
2025-08-04,Sport Boys,1.03,ADT,1.40,1,0,1.93,3.25,3.05
2025-08-04,UTC Cajamarca,0.92,Real Garcilaso,1.97,1,2,3.00,3.40,2.15
2025-08-03,Sport Huancayo,1.37,Ayacucho,0.83,3,1,1.66,3.64,5.00
2025-08-01,Deportivo Garcilaso,1.49,Cienciano,1.43,2,1,3.10,3.10,2.10
2025-08-01,Alianza Atlético,1.63,Melgar,1.60,0,0,2.30,3.22,3.15
2025-08-01,Los Chankas,1.43,Comerciantes Unidos,1.06,3,2,1.77,3.28,4.45
2025-07-31,Universitario,2.26,Atlético Grau,1.09,3,1,1.24,3.80,8.50
2025-07-31,Juan Pablo II College,0.94,Alianza Lima,1.89,1,2,7.50,4.20,1.46
2025-07-31,ADT,1.40,Alianza Universidad,0.80,0,3,1.63,3.80,5.25
2025-07-30,Sporting Cristal,1.74,Sport Huancayo,1.37,5,0,1.47,4.00,6.60
2025-07-30,Ayacucho,0.83,Sport Boys,1.03,0,0,1.98,3.09,3.90
2025-07-27,Alianza Lima,1.89,Alianza Atlético,1.63,1,1,1.33,4.60,8.00
2025-07-27,Comerciantes Unidos,1.06,Deportivo Garcilaso,1.49,0,0,2.90,3.14,2.30
2025-07-27,Melgar,1.60,Real Garcilaso,1.97,0,2,1.60,3.75,4.75
2025-07-26,Cienciano,1.43,Universitario,2.26,1,1,2.25,3.05,2.32
2025-07-26,Sport Boys,1.03,Sporting Cristal,1.74,0,2,4.38,3.50,1.65
2025-07-26,Alianza Universidad,0.80,Ayacucho,0.83,1,2,1.75,3.50,4.50
2025-07-25,Deportivo Binacional,1.00,UTC Cajamarca,0.92,0,0,1.80,3.25,3.73
2025-07-25,Sport Huancayo,1.37,Juan Pablo II College,0.94,5,1,1.37,4.60,8.60
2025-07-20,Juan Pablo II College,0.94,Sport Boys,1.03,3,0,1.96,3.03,4.08
2025-07-20,Ayacucho,0.83,Atlético Grau,1.09,1,2,2.61,3.00,2.88
2025-07-20,Sporting Cristal,1.74,Alianza Universidad,0.80,3,0,1.22,5.90,10.74
2025-07-19,Real Garcilaso,1.97,Alianza Lima,1.89,2,0,1.80,3.40,4.50
2025-07-19,ADT,1.40,Cienciano,1.43,1,0,2.15,3.20,3.00
2025-07-19,UTC Cajamarca,0.92,Melgar,1.60,1,2,3.25,3.20,1.95
2025-07-18,Universitario,2.26,Comerciantes Unidos,1.06,3,1,1.05,11.00,33.00
2025-07-18,Deportivo Garcilaso,1.49,Los Chankas,1.43,3,0,2.08,3.35,3.80
2025-07-18,Alianza Atlético,1.63,Sport Huancayo,1.37,0,0,1.59,3.25,4.30
2025-07-13,Real Garcilaso,1.97,Sport Huancayo,1.37,3,0,1.96,3.15,4.08
2025-07-13,Juan Pablo II College,0.94,Alianza Universidad,0.80,1,0,1.98,3.42,4.13
2025-07-13,Ayacucho,0.83,Cienciano,1.43,1,0,3.00,3.36,2.18
2025-07-13,Sporting Cristal,1.74,Atlético Grau,1.09,2,1,1.50,3.70,6.05
2025-07-12,Alianza Atlético,1.63,Sport Boys,1.03,1,0,1.63,3.50,5.50
2025-07-12,Universitario,2.26,Los Chankas,1.43,0,0,1.08,8.75,26.00
2025-07-12,UTC Cajamarca,0.92,Alianza Lima,1.89,1,0,6.30,3.70,1.50
2025-07-12,Deportivo Binacional,1.00,Melgar,1.60,1,1,5.50,3.78,1.57
2025-07-11,ADT,1.40,Comerciantes Unidos,1.06,1,0,1.38,5.00,7.67
2025-07-06,Deportivo Garcilaso,1.49,Universitario,2.26,0,1,3.25,3.40,2.15
2025-07-06,Atlético Grau,1.09,Juan Pablo II College,0.94,2,0,2.50,3.20,2.60
2025-07-06,Sport Boys,1.03,Real Garcilaso,1.97,1,2,1.91,3.45,3.40
2025-07-05,Alianza Lima,1.89,Deportivo Binacional,1.00,5,1,1.08,9.40,15.00
2025-07-05,Alianza Universidad,0.80,Alianza Atlético,1.63,2,0,2.65,3.00,2.60
2025-07-05,Cienciano,1.43,Sporting Cristal,1.74,1,1,1.90,3.53,3.35
2025-07-05,Comerciantes Unidos,1.06,Ayacucho,0.83,0,1,1.95,3.20,3.05
2025-07-04,Los Chankas,1.43,ADT,1.40,1,1,2.52,3.25,2.60
2025-07-04,Sport Huancayo,1.37,UTC Cajamarca,0.92,1,0,1.50,4.18,6.25
2025-07-02,Juan Pablo II College,0.94,Melgar,1.60,1,1,4.42,3.10,1.99
2025-06-29,Real Garcilaso,1.97,Alianza Universidad,0.80,4,1,1.50,4.33,6.00
2025-06-29,Alianza Atlético,1.63,Atlético Grau,1.09,2,1,2.20,3.30,3.70
2025-06-29,Sporting Cristal,1.74,Comerciantes Unidos,1.06,2,0,1.18,7.00,13.00
2025-06-28,Melgar,1.60,Alianza Lima,1.89,0,1,1.83,3.25,4.50
2025-06-28,UTC Cajamarca,0.92,Sport Boys,1.03,1,1,2.20,3.20,3.30
2025-06-28,ADT,1.40,Deportivo Garcilaso,1.49,0,0,1.73,3.70,4.75
2025-06-27,Deportivo Binacional,1.00,Sport Huancayo,1.37,1,0,3.10,3.50,2.15
2025-06-27,Juan Pablo II College,0.94,Cienciano,1.43,2,2,2.10,3.20,3.30
2025-06-27,Ayacucho,0.83,Los Chankas,1.43,1,2,1.90,3.50,3.90
2025-06-25,Atlético Grau,1.09,Universitario,2.26,0,2,7.00,3.50,1.57
2025-06-22,Cienciano,1.43,Alianza Atlético,1.63,3,2,1.57,3.70,6.25
2025-06-22,Comerciantes Unidos,1.06,Juan Pablo II College,0.94,3,0,2.20,3.10,3.30
2025-06-22,Sport Boys,1.03,Deportivo Binacional,1.00,3,1,1.33,5.00,8.50
2025-06-21,Deportivo Garcilaso,1.49,Ayacucho,0.83,2,1,1.45,4.50,7.00
